feature,importance
duration,408.8
duration_per_day,337.6
campaign_efficiency,332.0
day,330.8
balance,302.2
age,289.4
month_cos,232.8
pdays,219.0
month_sin,219.0
duration_log,179.8
balance_log,147.0
previous_per_pdays,121.8
campaign,81.0
poutcome_success,77.8
total_loans,76.4
contact_month_cellular_jun,71.0
contact_month_unknown_may,61.6
contact_unknown,50.8
marital_married,42.0
contact_month_cellular_may,36.4
contact_month_cellular_mar,35.8
contact_month_cellular_feb,34.6
previous,32.6
contact_month_cellular_nov,28.2
housing,27.6
contact_month_cellular_jul,24.8
has_any_loan,24.2
contact_month_unknown_jun,24.0
contact_month_cellular_jan,23.6
marital_single,23.6
education_tertiary,21.0
job_blue-collar,20.6
contact_month_cellular_aug,19.2
job_education_admin._secondary,18.4
job_education_management_tertiary,17.8
job_student,17.0
education_secondary,16.4
contact_month_cellular_oct,15.4
job_education_blue-collar_primary,14.8
age_group__46_875__51_688_,14.2
loan,13.8
age_group__37_25__42_062_,13.8
contact_month_cellular_sep,13.4
job_technician,13.2
age_group__61_312__66_125_,13.2
contact_month_telephone_jan,13.0
age_group__32_438__37_25_,12.4
default,12.4
age_group__42_062__46_875_,12.0
job_education_admin._tertiary,11.6
job_education_self-employed_primary,11.0
job_education_blue-collar_secondary,10.6
age_group__27_625__32_438_,10.6
poutcome_other,10.2
job_education_management_secondary,10.0
contact_month_cellular_dec,9.2
contact_telephone,9.0
contact_month_telephone_jul,9.0
job_education_entrepreneur_tertiary,8.6
job_education_technician_secondary,8.6
job_education_entrepreneur_primary,8.6
contact_month_telephone_oct,8.2
job_education_retired_primary,8.0
age_group__51_688__56_5_,8.0
contact_month_telephone_nov,8.0
age_group__22_812__27_625_,7.8
job_education_unemployed_primary,7.6
job_education_entrepreneur_secondary,7.6
job_education_student_tertiary,7.4
job_management,7.2
job_housemaid,7.2
job_education_unemployed_secondary,6.8
job_unemployed,6.6
job_education_services_secondary,6.6
job_education_blue-collar_unknown,6.4
contact_month_unknown_jul,6.2
job_education_technician_tertiary,6.0
job_services,5.8
education_unknown,5.6
job_unknown,5.4
job_entrepreneur,5.4
job_education_self-employed_secondary,5.2
job_education_student_unknown,5.0
balance_negative,4.8
has_previous_contact,4.8
poutcome_unknown,4.6
job_self-employed,4.4
contact_month_telephone_feb,4.2
job_education_management_unknown,4.2
job_education_blue-collar_tertiary,4.0
age_group__56_5__61_312_,3.8
job_education_technician_unknown,3.4
contact_month_unknown_nov,3.2
job_retired,3.2
job_education_admin._unknown,2.8
contact_month_telephone_jun,2.8
job_education_housemaid_secondary,2.6
contact_month_telephone_may,2.6
job_education_housemaid_primary,2.4
job_education_student_secondary,2.2
age_group__66_125__70_938_,2.2
balance_positive,2.0
contact_month_unknown_oct,2.0
contact_month_telephone_aug,1.8
job_education_services_tertiary,1.8
job_education_management_primary,1.6
contact_month_telephone_apr,1.6
contact_month_telephone_mar,1.4
job_education_retired_secondary,1.4
job_education_self-employed_tertiary,1.4
job_education_retired_tertiary,1.4
job_education_housemaid_tertiary,1.0
age_group__70_938__75_75_,0.8
age_group__75_75__80_562_,0.6
contact_month_telephone_sep,0.6
job_education_unemployed_tertiary,0.4
job_education_retired_unknown,0.4
job_education_services_primary,0.2
job_education_unknown_secondary,0.2
job_education_housemaid_unknown,0.0
age_group__80_562__85_375_,0.0
job_education_entrepreneur_unknown,0.0
age_group__90_188__95_0_,0.0
age_group__85_375__90_188_,0.0
job_education_unknown_unknown,0.0
job_education_unemployed_unknown,0.0
job_education_unknown_primary,0.0
job_education_unknown_tertiary,0.0
job_education_technician_primary,0.0
job_education_self-employed_unknown,0.0
job_education_student_primary,0.0
job_education_services_unknown,0.0
contact_month_telephone_dec,0.0
contact_month_unknown_dec,0.0
contact_month_unknown_aug,0.0
contact_month_unknown_apr,0.0
contact_month_unknown_feb,0.0
contact_month_unknown_jan,0.0
contact_month_unknown_mar,0.0
contact_month_unknown_sep,0.0
